il_adi,il_kodu,ilce_adi,ilce_kodu
BAYBURT,69,DEMİRÖZÜ,1788
BAYBURT,69,MERKEZ,1176
KARAMAN,70,AYRANCI,1768
KARAMAN,70,BAŞYAYLA,1884
KARAMAN,70,ERMENEK,1316
KARAMAN,70,KAZIMKARABEKİR,1862
KARAMAN,70,MERKEZ,1439
KARAMAN,70,SARIVELİLER,1983
KIRIKKALE,71,BAHŞİLİ,188
KIRIKKALE,71,BALIŞEYH,1882
KIRIKKALE,71,ÇELEBİ,1901
KIRIKKALE,71,DELİCE,1268
KIRIKKALE,71,KARAKEÇİLİ,1954
KIRIKKALE,71,KESKİN,1463
KIRIKKALE,71,MERKEZ,1469
KIRIKKALE,71,SULAKYURT,1638
KIRIKKALE,71,YAHŞİHAN,1992
BATMAN,72,BEŞİRİ,1184
BATMAN,72,GERCÜŞ,1345
BATMAN,72,HASANKEYF,1941
BATMAN,72,KOZLUK,1487
BATMAN,72,MERKEZ,1174
BATMAN,72,SASON,1607
ŞIRNAK,73,BEYTÜŞŞEBAP,1189
ŞIRNAK,73,CİZRE,1223
ŞIRNAK,73,GÜÇLÜKONAK,1931
ŞIRNAK,73,İDİL,1403
ŞIRNAK,73,MERKEZ,1661
ŞIRNAK,73,SİLOPİ,1623
ŞIRNAK,73,ULUDERE,1698
BARTIN,74,AMASRA,1761
BARTIN,74,KURUCAŞİLE,1496
BARTIN,74,MERKEZ,1172
BARTIN,74,ULUS,1701
ARDAHAN,75,ÇILDIR,1252
ARDAHAN,75,DAMAL,2008
ARDAHAN,75,GÖLE,1356
ARDAHAN,75,HANAK,138
ARDAHAN,75,MERKEZ,1144
ARDAHAN,75,POSOF,1579
IĞDIR,76,ARALIK,1142
IĞDIR,76,KARAKOYUNLU,2011
IĞDIR,76,MERKEZ,1398
IĞDIR,76,TUZLUCA,1692
YALOVA,77,ALTINOVA,2019
YALOVA,77,ARMUTLU,202
YALOVA,77,ÇINARCIK,2021
YALOVA,77,ÇİFTLİKKÖY,2022
YALOVA,77,MERKEZ,1716
YALOVA,77,TERMAL,2026
KARABÜK,78,EFLANİ,1296
KARABÜK,78,ESKİPAZAR,1321
KARABÜK,78,MERKEZ,1433
KARABÜK,78,OVACIK,1561
KARABÜK,78,SAFRANBOLU,1587
KARABÜK,78,YENİCE,1856
KİLİS,79,ELBEYLİ,2023
KİLİS,79,MERKEZ,1476
KİLİS,79,MUSABEYLİ,2024
KİLİS,79,POLATELİ,2025
OSMANİYE,80,BAHÇE,1165
OSMANİYE,80,DÜZİÇİ,1743
OSMANİYE,80,HASANBEYLİ,2027
OSMANİYE,80,KADİRLİ,1423
OSMANİYE,80,MERKEZ,156
OSMANİYE,80,SUMBAS,2028
OSMANİYE,80,TOPRAKKALE,2029
DÜZCE,81,AKÇAKOCA,1116
DÜZCE,81,CUMAYERİ,1784
DÜZCE,81,ÇİLİMLİ,1905
DÜZCE,81,GÖLYAKA,1794
DÜZCE,81,GÜMÜŞOVA,2017
DÜZCE,81,KAYNAŞLI,2031
DÜZCE,81,MERKEZ,1292
DÜZCE,81,YIĞILCA,173
